ticker,name,provider,asset_class,mer,distribution_yield,risk_rating,currency,tracking_index,inception_date,aum_millions,management_fee,perf_1y,perf_3y,perf_5y,perf_since_inception,sector_1_label,sector_1_weight,sector_2_label,sector_2_weight,sector_3_label,sector_3_weight,holding_1_label,holding_1_weight,holding_2_label,holding_2_weight,holding_3_label,holding_3_weight,holding_4_label,holding_4_weight,holding_5_label,holding_5_weight
VFV,Vanguard S&P 500 Index ETF,Vanguard,Equity,0.25,0.92,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XIC,iShares Core S&P/TSX Capped Composite Index ETF,iShares,Equity,0.25,2.08,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XIU,iShares S&P/TSX 60 Index ETF,iShares,Equity,0.25,2.28,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZSP,BMO S&P 500 Index ETF,BMO,Equity,0.25,0.82,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XEF,iShares Core MSCI EAFE IMI Index ETF,iShares,Equity,0.25,2.34,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VUN,Vanguard U.S. Total Market Index ETF,Vanguard,Equity,0.25,0.84,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZCN,BMO S&P/TSX Capped Composite Index ETF,BMO,Equity,0.25,2.07,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XEQT,iShares Core Equity ETF Portfolio,iShares,Multi-Asset,0.25,1.58,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VCN,Vanguard FTSE Canada All Cap Index ETF,Vanguard,Equity,0.25,2.13,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
XSP,iShares Core S&P 500 Index ETF (CAD-Hedged),iShares,Equity,0.25,1.24,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZAG,BMO Aggregate Bond Index ETF,BMO,Fixed Income,0.25,3.44,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
ZEA,BMO MSCI EAFE Index ETF,BMO,Equity,0.25,2.08,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
VEQT,Vanguard All-Equity ETF Portfolio,Vanguard,Multi-Asset,0.25,1.37,Medium,CAD,,,,,,,,,,,,,,,,,,,,,,,,
